AttractionType,CityName,Rating,Attraction
Nature & Wildlife Areas,Kerala,1.0,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Belleville,1.0,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Squamish,1.0,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Innisfil,0.5,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Crown Point,0.5,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Hilo,1.0,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Pailles,0.75,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Renmark,1.0,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Tunis,0.5,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Dar es Salaam,1.0,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Warners Bay,1.0,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Angeles City,1.0,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Santiago City,0.5,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Unionville,0.75,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Jabalpur,0.75,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Mount Abu,1.0,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Sunshine Coast Australia,0.5,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Malaysia,0.75,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Maniwa,0.75,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Pleasanton,1.0,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Secret Harbour,0.0,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Plainview,1.0,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Grahamstown,1.0,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Owen Sound,1.0,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Edmonton,0.75,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Auckland Region,1.0,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Del Mar,1.0,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,West New York,1.0,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Sulaymaniyah,0.75,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Redmond,1.0,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Kerobokan,1.0,Sacred Monkey Forest Sanctuary
Nature & Wildlife Areas,Bronte,0.5,Sacred Monkey Forest Sanctuary
