,Balekambang Beach,Bromo Tengger Semeru National Park,Coban Rondo Waterfall,Goa Cina Beach,Jodipan Colorful Village,Jomblang Cave,Kalibiru National Park,Khayangan Reflexology & Massage,Kuta Beach - Bali,Malang City Square,Malioboro Road,Merapi Volcano,Mount Semeru Volcano,Museum Malang Tempo Doeloe,Nusa Dua Beach,Ramayana Ballet at Prambanan,Ratu Boko Temple,Sacred Monkey Forest Sanctuary,Sanur Beach,Seminyak Beach,Sempu Island,Sewu Temple,Tanah Lot Temple,Tegalalang Rice Terrace,Tegenungan Waterfall,Ullen Sentalu Museum,Uluwatu Temple,Water Castle (Tamansari),Waterbom Bali,Yogyakarta Palace
Balekambang Beach,1.0,0.042201340908446516,0.12148770053768446,0.1587759964711697,0.0,0.0,0.0,0.0,0.008473697763355399,0.10434114421690424,0.007865311274177307,0.0,0.0062268066858419645,0.059506944865722396,0.0,0.0,0.0,0.002353567722287689,0.01157190772880818,0.0,0.07643415508228789,0.0,0.0017111668411802135,0.006146919397237402,0.0,0.0,0.002545235316888639,0.013717829099872935,0.0026892267692218697,0.0
Bromo Tengger Semeru National Park,0.042201340908446516,0.9999999999999999,0.09769561052095285,0.04450343939706095,0.07091834575556513,0.0,0.01234397953873477,0.01153950714028898,0.013489044501085864,0.09284712110799083,0.030244965194087897,0.02377922176586593,0.09113380647587943,0.04743441985843721,0.005988696524339955,0.0197123013106662,0.019676298449607978,0.00796567472064544,0.008484962656380726,0.006231763914186633,0.037098716245414484,0.010016280251331031,0.007304546892567267,0.014286470025624127,0.011070108605765924,0.019812657626328434,0.0062824704887398854,0.011452672129732222,0.004618631546109859,0.017238333172609054
Coban Rondo Waterfall,0.12148770053768446,0.09769561052095285,1.0,0.12335387212476907,0.0745958926896495,0.0,0.0,0.013655138251635026,0.007623689577932362,0.13727289127931824,0.015967106224457413,0.0032207170719770546,0.0,0.029445747114335327,0.0,0.009071345435189913,0.0,0.004488612499633265,0.007687836402394733,0.0,0.02161246707330486,0.00970294227541338,0.007526529317361537,0.011225219713874595,0.007419288404896111,0.008840746006896143,0.009795765848037902,0.00848497027414199,0.0019010095990426542,0.003535535322710267
Goa Cina Beach,0.1587759964711697,0.04450343939706095,0.12335387212476907,0.9999999999999999,0.0,0.0,0.0,0.013449399357632941,0.003754412581650696,0.14933048855462921,0.019805603037748164,0.0,0.04046372232364041,0.05075366567489734,0.0,0.0,0.0,0.005974302142668431,0.003133243656000115,0.0,0.08159954143963101,0.0,0.004169884946908464,0.0049930737411751965,0.0,0.01818481664264325,0.004824087624610781,0.0,0.0014042756365258858,0.0
Jodipan Colorful Village,0.0,0.07091834575556513,0.0745958926896495,0.0,1.0000000000000004,0.018287207179890404,0.0,0.0,0.0,0.13150710112788142,0.02643493559256119,0.0073244199705753505,0.0,0.0,0.0047393107118283255,0.011442592585084548,0.0,0.0014831678854450444,0.0,0.004514907700201648,0.0,0.016362338158238607,0.004313362528629558,0.0,0.0075589405588056355,0.01472993147568156,0.0038019619355271635,0.013447282486073797,0.0019367920178705558,0.01929687950523694
Jomblang Cave,0.0,0.0,0.0,0.0,0.018287207179890404,0.999999999999999,0.0,0.0,0.0022193780795429887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004026070075548252,0.0,0.004192756572858245,0.0,0.0,0.005203846284227323,0.0,0.002879831501236567,0.0,0.0021727270501575736,0.0,0.0025826001902718543,0.0
Kalibiru National Park,0.0,0.01234397953873477,0.0,0.0,0.0,0.0,1.0000000000000004,0.0,0.003478453465912067,0.0,0.0,0.0,0.017302861481112486,0.0,0.0,0.0,0.0,0.00040875141083305156,0.0013398194197934818,0.0,0.0,0.0,0.001783101936382654,0.004117710481278632,0.000781198047807615,0.0,0.0029469261122969876,0.0,0.0018014645285794192,0.0
Khayangan Reflexology & Massage,0.0,0.01153950714028898,0.013655138251635026,0.013449399357632941,0.0,0.0,0.0,0.9999999999999996,0.0,0.009680152041534048,0.012258907841185497,0.007246119315708453,0.024262818929120727,0.0,0.0,0.01632730846166338,0.0,0.0017195065935580718,0.0,0.0,0.0,0.0,0.007778843240155393,0.0,0.0,0.019384822337873753,0.004407794074258897,0.0,0.0,0.01073845631205072
Kuta Beach - Bali,0.008473697763355399,0.013489044501085864,0.007623689577932362,0.003754412581650696,0.0,0.0022193780795429887,0.003478453465912067,0.0,1.0000000000000004,0.008444448812039602,0.019123577611188953,0.009036359085827778,0.002539870840089943,0.0,0.04898563465232813,0.005697229545623869,0.006567254020963538,0.06471601750556423,0.055158886084069964,0.06321854519030763,0.0035630807520709725,0.004324569021346569,0.08054478831239313,0.06743552955241705,0.057131804947523915,0.002995536384770716,0.06575804041549599,0.004973694597560576,0.09526591529047398,0.009742363346019106
Malang City Square,0.10434114421690424,0.09284712110799083,0.13727289127931824,0.14933048855462921,0.13150710112788142,0.0,0.0,0.009680152041534048,0.008444448812039602,1.0000000000000009,0.028050170191147954,0.006574312575279627,0.05733709586240791,0.04696682183138621,0.0,0.014055657727627263,0.0,0.004256980555772465,0.013530838441215488,0.002650635819256556,0.05936932736979849,0.01280811701704808,0.00725304068137449,0.007315838228649667,0.004930825200825878,0.015581488000154587,0.006944236010273977,0.012030021345519016,0.0,0.02304049307240167
